id,type,dc.identifier,dc.language,dc.source,hasVersion  ,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-fysico-chemische-eigenschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
omg_dataset:codelijst-fysico-chemische-eigenschap,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-fysico-chemische-eigenschap,nl,NA,NA,Codelijst fysico-chemische-eigenschap Dataset,"Deze dataset bevat een lijst van fysico-chemische eigenschappen, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-fysico-chemische-eigenschap,2022-03-01,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Thesaurus chemische stoffen,omg_conceptscheme:fysico-chemische-eigenschap,Dataset Codelijst fysico-chemische-eigenschap,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-fysico-chemische-eigenschap.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-fysico-chemische-eigenschap_csv|omg_distribution:codelijst-fysico-chemische-eigenschap_jsonld|omg_distribution:codelijst-fysico-chemische-eigenschap_ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
omg_distribution:codelijst-fysico-chemische-eigenschap_csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap_csv,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-fysico-chemische-eigenschap_csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in text/csv formaat.,NA,"Codelijst fysico-chemische-eigenschap, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-fysico-chemische-eigenschap_csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-fysico-chemische-eigenschap.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-fysico-chemische-eigenschap/codelijst-fysico-chemische-eigenschap/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/fysico-chemische-eigenschap/fysico-chemische-eigenschap.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
omg_distribution:codelijst-fysico-chemische-eigenschap_jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap_jsonld,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-fysico-chemische-eigenschap_jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in jsonld rdf-formaat.,NA,"Codelijst fysico-chemische-eigenschap, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-fysico-chemische-eigenschap_jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-fysico-chemische-eigenschap.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-fysico-chemische-eigenschap/codelijst-fysico-chemische-eigenschap/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/fysico-chemische-eigenschap/fysico-chemische-eigenschap.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
omg_distribution:codelijst-fysico-chemische-eigenschap_ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap_ttl,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-fysico-chemische-eigenschap_ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in Turtle rdf-formaat.,NA,"Codelijst fysico-chemische-eigenschap, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-fysico-chemische-eigenschap_ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-fysico-chemische-eigenschap.git,http://www.iana.org/assignments/media-types/application/gzip,https://raw.githubusercontent.com/milieuinfo/codelijst-fysico-chemische-eigenschap/codelijst-fysico-chemische-eigenschap/src/main/resources/be/vlaanderen/omgeving/data/id/conceptscheme/fysico-chemische-eigenschap/fysico-chemische-eigenschap.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,spdx:Package,be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in jar-formaat.,NA,Package codelijst-fysico-chemische-eigenschap,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
