recordtype,id,type,dc.identifier,dc.language,dc.source,isVersionOf,hasVersion,alternative,description,identifier,issued,dct.language,license,publisher,rightsHolder,spatial,title,rootResource,label,owl.versionInfo,contactPoint,dataset,accessRights,landingPage,servesDataset,page,accrualPeriodicity,temporal,distribution,theme,format,accessURL,compressFormat,downloadURL,mediaType,downloadLocation,packageFileName,packageName,versionInfo
CATALOG,omg_catalog:codelijst,dcat:Catalog,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,omg_dataset:codelijst-fysico-chemische-eigenschap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DATASET,omg_dataset:codelijst-fysico-chemische-eigenschap,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-fysico-chemische-eigenschap,nl,NA,NA,NA,Dataset codelijst fysico-chemische-eigenschap,"Deze dataset bevat een lijst van fysico-chemische-eigenschaptypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-fysico-chemische-eigenschap,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst fysico-chemische-eigenschap,omg_conceptscheme:fysico-chemische-eigenschap,Codelijst fysico-chemische-eigenschap,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-fysico-chemische-eigenschap.html,frequency:IRREG,omg_periodoftime:dataset_omg,NA,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DATASET,omg_dataset:codelijst-fysico-chemische-eigenschap,dcat:Dataset,be.vlaanderen.omgeving.data.id.dataset.codelijst-fysico-chemische-eigenschap,nl,NA,omg_dataset:codelijst-fysico-chemische-eigenschap,NA,Dataset codelijst fysico-chemische-eigenschap,"Deze dataset bevat een lijst van fysico-chemische-eigenschaptypes, die gebruikt worden binnen het beleidsdomein omgeving van de Vlaamse Overheid en zoals die initieel binnen het kader van het OSLO thema omgeving is opgesteld.",omg_dataset:codelijst-fysico-chemische-eigenschap,NA,language:NLD,http://data.vlaanderen.be/id/licentie/modellicentie-gratis-hergebruik/v1.0,ovo:OVO003323,ovo:OVO003751,https://www.geonames.org/3337388/flanders|country:BEL,Codelijst fysico-chemische-eigenschap,omg_conceptscheme:fysico-chemische-eigenschap,Codelijst fysico-chemische-eigenschap,NA,omg_vcard:helpdesk,NA,access_right:PUBLIC,https://data.omgeving.vlaanderen.be/doc/catalog/codelijst.html,NA,https://data.omgeving.vlaanderen.be/doc/dataset/codelijst-fysico-chemische-eigenschap.html,frequency:IRREG,omg_periodoftime:dataset_omg,omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.csv|omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.jsonld|omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.ttl|omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,gemet:10087|datatheme_be:ENVI|eurovoc:2407|datatheme_eu:ENVI,NA,NA,NA,NA,NA,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.csv,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap.fysico-chemisch.csv,NA,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, geserialiseerd in csv tabelformaat.",omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.csv,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in text/csv formaat.,NA,"Codelijst fysico-chemische-eigenschap, in text/csv formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-fysico-chemische-eigenschap.fysico-chemisch.csv.html,NA,NA,NA,NA,file_type:CSV,https://github.com/milieuinfo/codelijst-fysico-chemische-eigenschap.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap.fysico-chemisch.csv,https://www.iana.org/assignments/media-types/text/csv,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.jsonld,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap.fysico-chemisch.jsonld,NA,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, geserialiseerd in een jsonld bestand.",omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.jsonld,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in jsonld rdf-formaat.,NA,"Codelijst fysico-chemische-eigenschap, in jsonld rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-fysico-chemische-eigenschap.fysico-chemisch.jsonld.html,NA,NA,NA,NA,file_type:JSON_LD,https://github.com/milieuinfo/codelijst-fysico-chemische-eigenschap.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap.fysico-chemisch.jsonld,https://www.iana.org/assignments/media-types/application/ld+json,NA,NA,NA,NA
VERSIE-DISTRIB,omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.ttl,dcat:Distribution,be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap.fysico-chemisch.ttl,NA,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, geserialiseerd in Turtle bestand.",omg_distribution:codelijst-fysico-chemische-eigenschap.fysico-chemisch.ttl,2022-09-10,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in Turtle rdf-formaat.,NA,"Codelijst fysico-chemische-eigenschap, in Turtle rdf-formaat.",NA,NA,NA,access_right:PUBLIC,NA,NA,https://data.omgeving.vlaanderen.be/doc/distribution/codelijst-fysico-chemische-eigenschap.fysico-chemisch.ttl.html,NA,NA,NA,NA,file_type:RDF_TURTLE,https://github.com/milieuinfo/codelijst-fysico-chemische-eigenschap.git,http://www.iana.org/assignments/media-types/application/gzip,https://datasets.omgeving.vlaanderen.be/be.vlaanderen.omgeving.data.id.distribution.codelijst-fysico-chemische-eigenschap.fysico-chemisch.ttl,https://www.iana.org/assignments/media-types/text/turtle,NA,NA,NA,NA
VERSIE-PACKAGE,omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,spdx:Package|dcat:Distribution,be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,NA,NA,NA,NA,NA,"Codelijst fysico-chemische-eigenschap, Jar maven package.",omg_package:be.vlaanderen.omgeving.data.id.graph.codelijst-fysico-chemische-eigenschap,2023-02-13,NA,NA,NA,ovo:OVO003751,NA,Codelijst fysico-chemische-eigenschap in jar-formaat.,NA,Package codelijst-fysico-chemische-eigenschap,NA,NA,NA,access_right:PUBLIC,NA,NA,NA,NA,NA,NA,NA,file_type:JAR,NA,NA,,NA,NA,NA,NA,NA
