uri,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collections,broader,belongsTo,Validatiestatus
43,Alpha,"Radioactiviteit, alpha",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
44,Beta,"Radioactiviteit, beta",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
45,dil.F,Dilutie factor,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
46,Rot,Verrotbaarheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
47,Sp.opp.,Specifiek oppervlak,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
48,Gran<2 bt,"Korrelgrootte distributie <2µm, totaal",,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
49,Dagen,Dagen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
50,Vol,Volume,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
51,pH-CO2,pH (na ontgassen),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,76,,
52,Rad.act.,"Radioactiviteit, totaal",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
53,Q,Debiet,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
54,Gran<50,Korrelgrootte distributie <50µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
55,Gran>2<63,Korrelgrootte distributie >2µm en <63µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
56,Gran>50,Korrelgrootte distributie >50µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
57,EC 25,Geleidbaarheid (25°C),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1686,collectie:water,322,,
58,FPFV,Filterverzadiging,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
59,Gran<4,Korrelgrootte distributie <4µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
60,Gran<8,Korrelgrootte distributie <8µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
61,Gran<32,Korrelgrootte distributie <32µm,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,collectie:water,331,,
62,Straling uv-A,"Straling, ultraviolet (type A)",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
63,Straling n,"Straling, netto",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
64,Luchtdruk sh,Luchtdruk op stationshoogte (QFE),,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
65,Rel.vocht,Relatieve vochtigheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
66,Zon t,"Zonnestraling, totaal",,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,collectie:water,,,
