uri,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collections,broader,belongsTo,Validatiestatus
188,,Bewaard bodemmonster voorbereiding type droging,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
189,,Bodembedekking landgebruiksbestand Vlaanderen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
190,,Bodembemonstering Cmon steken niet uitgevoerd ander landgebruik,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
191,,Bodembemonstering obstakel in de diepte - locatie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
192,,Bodembemonstering obstakel in de diepte - type,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
193,,Bodembemonstering obstakels in de diepte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
194,,Bodembemonstering steek niet uitgevoerd - locatie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
195,,Bodembemonstering steek niet uitgevoerd - reden,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
196,,Bodembemonstering steken niet uitgevoerd,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
197,,Bodemgebruik,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
198,,Bodemgebruik Aardewerk,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,197,,
199,,Bodemmonster type matrix,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
200,,Bodemmonster type verstoring,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
201,,Bodemtoestand,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
202,,Bodemverstoring,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
203,,C/N ratio,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
204,,Consistentie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
205,,Consistentie - kleverigheid,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,204,,
206,,Consistentie - plasticiteit,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,204,,
207,,Constant rate of strain (CRS),,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
208,,Coördinaat - Bonne - E,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
209,,Coördinaat - Bonne - N,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
210,,Coördinaat - Bonne - S,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
211,,Coördinaat - Bonne - W,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
212,,Doorlatendheid in tx cel,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
213,,Doorlatendheidsproef - algemeen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
214,,Doorlatendheidsproef- constant verval,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
215,,Doorlatendheidsproef- veranderlijk verval - horizontaal,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
216,,Doorlatendheidsproef- veranderlijk verval - verticaal,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
217,,Drainage Aardewerk-doorlaatbaarheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
218,,Drainage Aardewerk - interne drainage,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
219,,Drainage Aardewerk - klasse,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
220,,Drainage Aardewerk - oppervlakkige drainage,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
221,,(Drainage) grachten,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
222,,Geologische aard - afzettingswijze laag 1,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
223,,Geologische aard - afzettingswijze laag 2,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
224,,Geologische aard - afzettingswijze laag 3,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
225,,Geologische aard - afzettingswijze laag 4,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
226,,Geologische aard - andere kenmerken laag 1,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
227,,Geologische aard - andere kenmerken laag 2,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
228,,Geologische aard - andere kenmerken laag 3,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
229,,Geologische aard - andere kenmerken laag 4,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
230,,Geologische aard - bovenliggend laag 1,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
231,,Geologische aard - bovenliggend laag 2,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
232,,Geologische aard - bovenliggend laag 3,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
233,,Geologische aard - bovenliggend laag 4,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
234,,Geologische aard - bovenliggend laag 5,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
235,,Geologische aard - bovenliggend laag 6,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
236,,Geologische aard - lithologie laag 1,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
237,,Geologische aard - lithologie laag 2,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
238,,Geologische aard - lithologie laag 3,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
239,,Geologische aard - lithologie laag 4,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
240,,Geologische aard - lithologie laag 5,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
241,,Geologische aard - lithologie laag 6,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
242,,Geologische aard - tijdperk laag 1,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
243,,Geologische aard - tijdperk laag 2,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
244,,Geologische aard - tijdperk laag 3,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
245,,Geologische aard - tijdperk laag 4,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
246,,Geologische aard - tijdperk laag 5,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
247,,Geologische aard - tijdperk laag 6,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,330,,
248,,Gley roest - aantal,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
249,,Gley roest - begrenzing,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
250,,Gley roest - contrast,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
251,,Gley roest - grootte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
252,,Gley roest - vorm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
253,,Grondsoort bepaald op zicht,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
254,,Grondsoort volgens BGGG norm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
255,,Grondsoort volgens BGGG norm met detail grind,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
256,,Grondsoort volgens BGGG norm zonder detail grind,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
257,,Horizontstructuur - gradatie - aardewerk,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
258,,Horizontstructuur - gradatie - FAO,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
259,,Horizontstructuur - grootteklasse - aardewerk,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
260,,Horizontstructuur - grootteklasse - FAO,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
261,,Horizontstructuur - type - aardewerk,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
262,,Horizontstructuur - type - FAO,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
263,,Insporing of vertrappeling door vee,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
264,,Kalkgehalte_beschrijvend,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
265,,Kalkreactie met HCL,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
266,,Kleur omschrijving,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
267,,Kleur volgens Munsell - CHROMA (kleur1),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
268,,Kleur volgens Munsell - CHROMA (kleur2),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
269,,Kleur volgens Munsell - CHROMA (kleur3),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
270,,Kleur volgens Munsell - HUE_getal (kleur1),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
271,,Kleur volgens Munsell - HUE_getal (kleur2),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
272,,Kleur volgens Munsell - HUE_getal (kleur3),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
273,,Kleur volgens Munsell - HUE_letters (kleur1),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
274,,Kleur volgens Munsell - HUE_letters (kleur2),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
275,,Kleur volgens Munsell - HUE_letters (kleur3),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
276,,Kleur volgens Munsell - kleurcode,,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
277,,Kleur volgens Munsell - VALUE (kleur1),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
278,,Kleur volgens Munsell - VALUE (kleur2),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
279,,Kleur volgens Munsell - VALUE (kleur3),,conceptscheme:fysico-chemische-eigenschap,,gemet:6229|gemet:1322,,18,,
280,,Korrelverdeling d.m.v. hydrometer/areometer,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
281,,Korrelverdeling d.m.v. laserdiffractie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
282,,Korrelverdeling d.m.v. zeefproef,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
283,,Meest losse pakking,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
284,,Mengmonster aantal steken,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
285,,Mengmonster ID steek,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
286,,Mengmonster locaties steken,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
287,,Mengmonster locatie steek,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
288,,Mengmonster staalnamepatroon,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
289,,Oogstresten,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
290,,Reductie in horizont(ja/nee),,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
291,,Reliëf - aanwezigheid helling,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
292,,Reliëf - aard,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
293,,Reliëf - expositie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
294,,Reliëf - helling enkelvoudig,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
295,,Reliëf - helling meervoudig,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
296,,Reliëf - landvorm,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
297,,Reliëf - microreliëf,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
298,,Reliëf - positie op de helling,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
299,,Reliëf - situering,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
300,,Reliëf - type helling,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
301,,Reliëf - vorm van de helling,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
302,,Roest - kleur omschrijving,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
303,,Samendrukkingsproef,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
304,,Saturatie-index,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,Status: done01.2026
305,,Schuifweerstandskarakteristieken,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
306,,Schuifweerstandskarakteristieken Consolidated Drained,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
307,,Schuifweerstandskarakteristieken Consolidated Undrained,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
308,,Schuifweerstandskarakteristieken Unconsolidated Undrained,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
309,,Specificatie van antropogeen materiaal,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
310,,Standaard proctorproef,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
311,,Stenen,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
312,,Techniek van de boring,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
313,,Temperatuur correctie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
314,,Type van de boring,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
315,,Vegetatie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
316,,Versterkte proctorproef,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
317,,Vinproef,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
318,,Vochtgehalte gradatie,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
319,,Watertafel aanwezig binnen profielput of boring,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
320,,Wetland,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
321,,Zwelproef,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
322,,Elektrische geleidbaarheid,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
324,,Secchi-diepte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
325,,Waterdiepte van secchi-bepaling,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
326,,Zwevende stoffen (105°C),,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
327,,Zwevende stoffen (550°C),,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
328,,Waterdampgehalte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
329,,Druk,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
330,,Geologische aard ,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
331,,Korrelgrootte,,conceptscheme:fysico-chemische-eigenschap,conceptscheme:fysico-chemische-eigenschap,gemet:6229|gemet:1322,,,,
