type,uri,vmmParameterId,notation,prefLabel,altLabel,inScheme,topConceptOf,theme,collection,broader
skos:Concept,cf:0049,611,Dagen,Dagen,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0050,612,Vol,Volume,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0051,616,pH-CO2,pH (na ontgassen),,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0076
skos:Concept,cf:0052,691,Rad.act.,"Radioactiviteit, totaal",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0053,702,Q,Debiet,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0054,722,Gran<50,Korrelgrootte distributie <50µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0055,825,Gran>2<63,Korrelgrootte distributie >2µm en <63µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0056,880,Gran>50,Korrelgrootte distributie >50µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0057,926,EC 25,Geleidbaarheid (25°C),,vlcs:fysico-chemisch,,gemet:6229|gemet:1686,cof:water,cf:0322
skos:Concept,cf:0058,1043,FPFV,Filterverzadiging,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0059,1072,Gran<4,Korrelgrootte distributie <4µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0060,1073,Gran<8,Korrelgrootte distributie <8µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0061,1074,Gran<32,Korrelgrootte distributie <32µm,,vlcs:fysico-chemisch,,gemet:6229|gemet:1322,cof:water,cf:0331
skos:Concept,cf:0062,1263,Straling uv-A,"Straling, ultraviolet (type A)",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0063,1264,Straling n,"Straling, netto",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0064,1266,Luchtdruk sh,Luchtdruk op stationshoogte (QFE),,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0065,1273,Rel.vocht,Relatieve vochtigheid,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0066,1279,Zon t,"Zonnestraling, totaal",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0067,1280,DD,Windrichting,,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
skos:Concept,cf:0068,1281,VM,"Windsnelheid, scalair",,vlcs:fysico-chemisch,vlcs:fysico-chemisch,gemet:6229|gemet:1322,cof:water,
