id,type,inScheme,member,prefLabel,notation,topConceptOf,theme,broader,broaderTransitive,semanticRelation,narrower,narrowerTransitive,altLabel,belongsTo,hasTopConcept
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/107,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Korrelgrootte distributie <250µm,Gran<250,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/108,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Korrelgrootte distributie <500µm,Gran<500,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/109,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Korrelgrootte distributie <1000µm,Gran<1000,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/11,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Gloeirest,GR,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/110,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Korrelgrootte distributie <2000µm,Gran<2000,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/111,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,pH na Zahn Wellens,pH na ZW,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/76,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/76,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/76,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/112,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Geleidbaarheid (25°C) na Zahn Wellens,EC 25 na ZW,null,http://www.eionet.europa.eu/gemet/concept/6229|http://www.eionet.europa.eu/gemet/concept/1686,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/322,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/113,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,"Hardheid, totaal na Zahn Wellens",H t na ZW,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/15,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/15,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/15,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/114,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Korrelgrootte distributie <20µm,Gran<20,null,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/331,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/115,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Rendement ZS ten opzichte van influentbelasting,ZS rendement,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/117,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Pid,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/118,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Vochtgehalte,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
https://data.omgeving.vlaanderen.be/id/concept/fysico-chemisch/119,http://www.w3.org/2004/02/skos/core#Concept,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,null,Hydrologisch type,null,https://data.omgeving.vlaanderen.be/id/conceptscheme/fysico-chemische-eigenschap,http://www.eionet.europa.eu/gemet/concept/1322|http://www.eionet.europa.eu/gemet/concept/6229,null,null,null,null,null,null,null,null
